"","Atatürk","Sabiha Gökçen","İstanbul","Atatürk Kapasite","Sabiha Kapasite","İstanbul Kapasite"
"Jan-10","2233297","715214","","2600000","2500000",""
"Feb-10","2163716","679582","","2600000","2500000",""
"Mar-10","2518699","752321","","2600000","2500000",""
"Apr-10","2540400","823117","","2600000","2500000",""
"May-10","2762092","924250","","2600000","2500000",""
"Jun-10","2736936","983309","","2600000","2500000",""
"Jul-10","3192120","1227682","","2600000","2500000",""
"Aug-10","3068590","1132082","","2600000","2500000",""
"Sep-10","2952107","1089917","","2600000","2500000",""
"Oct-10","2937156","1019500","","2600000","2500000",""
"Nov-10","2625725","952613","","2600000","2500000",""
"Dec-10","2412981","890091","","2600000","2500000",""
"Jan-11","2361425","904960","","2600000","2500000",""
"Feb-11","2379758","894965","","2600000","2500000",""
"Mar-11","2676441","920692","","2600000","2500000",""
"Apr-11","3039342","1023505","","2600000","2500000",""
"May-11","3148869","1159561","","2600000","2500000",""
"Jun-11","3241975","1233820","","2800000","2500000",""
"Jul-11","3831233","1420260","","2800000","2500000",""
"Aug-11","3484960","1223835","","2800000","2500000",""
"Sep-11","3651713","1270999","","2800000","2500000",""
"Oct-11","3526605","1110998","","2800000","2500000",""
"Nov-11","3101047","1028017","","3000000","2500000",""
"Dec-11","2951326","933058","","3000000","2500000",""
"Jan-12","2971519","997196","","3000000","2500000",""
"Feb-12","2789546","917763","","3000000","2500000",""
"Mar-12","3382993","1026603","","3000000","2500000",""
"Apr-12","3672197","1199819","","3000000","2500000",""
"May-12","3804810","1275746","","3000000","2500000",""
"Jun-12","4052791","1417056","","3000000","2500000",""
"Jul-12","4361468","1485036","","3000000","2500000",""
"Aug-12","4334814","1488492","","3000000","2500000",""
"Sep-12","4327672","1410261","","3000000","2500000",""
"Oct-12","4195886","1316004","","3000000","2500000",""
"Nov-12","3705577","1090699","","3000000","2500000",""
"Dec-12","3492689","1061377","","3000000","2500000",""
"Jan-13","3568031","1105257","","4600000","2500000",""
"Feb-13","3501145","1083174","","4600000","2500000",""
"Mar-13","4112507","1213030","","4600000","2500000",""
"Apr-13","4261033","1388113","","4600000","2500000",""
"May-13","4514086","1522319","","4600000","2500000",""
"Jun-13","4559860","1695644","","4600000","2500000",""
"Jul-13","4543481","1725984","","4600000","2500000",""
"Aug-13","4971291","2010071","","4600000","2500000",""
"Sep-13","4691713","1862694","","4600000","2500000",""
"Oct-13","4609756","1831943","","4600000","2500000",""
"Nov-13","4019581","1575829","","4600000","2500000",""
"Dec-13","3945306","1507704","","4600000","2500000",""
"Jan-14","4101729","1596830","","5000000","2500000",""
"Feb-14","3908493","1525446","","5000000","2500000",""
"Mar-14","4391553","1649033","","5000000","2500000",""
"Apr-14","4687392","1882015","","5000000","2500000",""
"May-14","4890966","1965390","","5000000","2500000",""
"Jun-14","5061800","2178701","","5000000","2500000",""
"Jul-14","4873944","2160789","","5000000","2500000",""
"Aug-14","5569201","2557711","","5000000","2500000",""
"Sep-14","5211552","2224815","","5000000","2500000",""
"Oct-14","5077692","2108930","","5000000","2500000",""
"Nov-14","4433073","1813368","","5000000","2500000",""
"Dec-14","4487771","1831618","","5000000","2500000",""
"Jan-15","4482263","1876391","","5000000","3400000",""
"Feb-15","3957159","1746431","","5000000","3400000",""
"Mar-15","4559832","1944913","","5000000","3400000",""
"Apr-15","5067020","2156198","","5000000","3400000",""
"May-15","5508952","2422557","","5000000","3400000",""
"Jun-15","5345303","2440199","","5000000","3400000",""
"Jul-15","5758678","2781896","","5000000","3400000",""
"Aug-15","6242277","3053164","","5000000","3400000",""
"Sep-15","5670225","2719895","","5000000","3400000",""
"Oct-15","5440485","2499393","","5000000","3400000",""
"Nov-15","4663417","2221122","","5000000","3400000",""
"Dec-15","4636513","2246579","","5000000","3400000",""
"Jan-16","4619870","2243364","","5800000","3400000",""
"Feb-16","4365865","2172860","","5800000","3400000",""
"Mar-16","4888883","2276192","","5800000","3400000",""
"Apr-16","4976707","2386744","","5800000","3400000",""
"May-16","5485493","2676994","","5800000","3400000",""
"Jun-16","4880508","2407057","","5800000","3400000",""
"Jul-16","5429583","2693197","","5800000","3400000",""
"Aug-16","5983645","2960931","","5800000","3400000",""
"Sep-16","5614872","2727320","","5800000","3400000",""
"Oct-16","5256412","2603295","","5800000","3400000",""
"Nov-16","4427365","2297865","","5800000","3400000",""
"Dec-16","4486267","2222034","","5800000","3400000",""
"Jan-17","4039117","2156539","","5800000","3400000",""
"Feb-17","4033089","2053551","","5800000","3400000",""
"Mar-17","4748812","2376682","","5800000","3400000",""
"Apr-17","5388977","2576563","","5800000","3400000",""
"May-17","5509473","2695211","","5800000","3400000",""
"Jun-17","5156725","2582695","","5800000","3400000",""
"Jul-17","6429590","3046449","","5800000","3400000",""
"Aug-17","6641953","3065620","","5800000","3400000",""
"Sep-17","6062519","2948804","","5800000","3400000",""
"Oct-17","5786478","2756112","","5800000","3400000",""
"Nov-17","5097550","2543722","","5800000","3400000",""
"Dec-17","5211731","2584090","","5800000","3400000",""
"Jan-18","5271893","2701606","","5800000","3400000",""
"Feb-18","4760402","2383411","","5800000","3400000",""
"Mar-18","5578616","2727536","","5800000","3400000",""
"Apr-18","5988306","2880722","","5800000","3400000",""
"May-18","5502097","2730221","","5800000","3400000",""
"Jun-18","5570827","2800713","","5800000","3400000",""
"Jul-18","6552647","3334648","","5800000","3400000",""
"Aug-18","6698812","3333575","","5800000","3400000",""
"Sep-18","6139035","3077125","","5800000","3400000",""
"Oct-18","5995470","2911895","738","5800000","3400000","7500000"
"Nov-18","5174327","2598521","39314","5800000","3400000","7500000"
"Dec-18","5114352","2653644","55153","5800000","3400000","7500000"
"Jan-19","5132618","2775729","92165","5800000","3400000","7500000"
"Feb-19","4734181","2488869","110288","5800000","3400000","7500000"
"Mar-19","5372387","2812980","115619","5800000","3400000","7500000"
"Apr-19","873618","2954701","4437888","5800000","3400000","7500000"
"May-19","","2698123","5214218","","3400000","7500000"
"Jun-19","","3070250","5851884","","3400000","7500000"
"Jul-19","","3341370","6437242","","3400000","7500000"
"Aug-19","","3430624","6764821","","3400000","7500000"
"Sep-19","","3156973","6182984","","3400000","7500000"
"Oct-19","","3121521","6152312","","3400000","7500000"
"Nov-19","","2870742","5460134","","3400000","7500000"
"Dec-19","","2838728","5189665","","3400000","7500000"
"Jan-20","","2935618","5276260","","3400000","7500000"
"Feb-20","","2596195","4603457","","3400000","7500000"
"Mar-20","","1511900","2364354","","3400000","7500000"
"","","","","","",""
